genre,subgenre,id,name,all_genres
singer-songwriter,singer-songwriter,105729,Zoe Johnston,"['dance', 'foreignbard', 'pop']"
singer-songwriter,singer-songwriter,2588,Robin Gibb,"['pop', 'foreignbard']"
singer-songwriter,singer-songwriter,632115,Moddi,"['alternative', 'foreignbard', 'pop']"
singer-songwriter,singer-songwriter,1931740,Vinyl Station,"['foreignbard', 'alternative']"
singer-songwriter,singer-songwriter,9410,Art Farmer,"['jazz', 'foreignbard', 'pop']"
singer-songwriter,singer-songwriter,1158180,Brady Harris,"['amerfolk', 'folk', 'foreignbard']"
singer-songwriter,singer-songwriter,6715721,GOLDZBROUGH,"['pop', 'dance', 'foreignbard']"
singer-songwriter,singer-songwriter,8541070,Zola,"['pop', 'holiday', 'foreignbard']"
singer-songwriter,singer-songwriter,30038,Ray Wylie Hubbard,"['country', 'amerfolk', 'foreignbard']"
singer-songwriter,singer-songwriter,2642,Don Gibson,"['country', 'pop', 'foreignbard']"
singer-songwriter,singer-songwriter,1611272,Ezzy,"['foreignrap', 'electronics', 'foreignbard']"
singer-songwriter,singer-songwriter,85784,Kenny Vance,"['pop', 'foreignbard', 'foreignrap']"
singer-songwriter,singer-songwriter,19109,Michael Martin Murphey,"['country', 'pop', 'foreignbard']"
singer-songwriter,singer-songwriter,1923720,Denai Moore,['foreignbard']
